Timestamp,Value,Result
1728538986.1951468,109,Backward
1728538986.1951468,109,Backward
1728538986.1951468,64,Backward
1728538986.1951468,64,Backward
1728538986.1951468,60,Backward
1728538986.1951468,60,Backward
1728538986.1951468,59,Backward
1728538986.1951468,59,Backward
1728538986.1951468,58,Backward
1728538986.1951468,58,Backward
1728538986.1951468,57,Backward
1728538986.1951468,57,Backward
1728538986.1951468,56,Backward
1728538986.1951468,56,Backward
1728538986.1951468,55,Backward
1728538986.1951468,55,Backward
1728538986.1951468,53,Backward
1728538986.1951468,53,Backward
1728538986.1951468,52,Backward
1728538986.1951468,52,Backward
1728538986.1951468,51,Backward
1728538986.1951468,51,Backward
1728538986.1951468,50,Backward
1728538986.1951468,50,Backward
1728538986.1951468,49,Backward
1728538986.1951468,49,Backward
1728538986.1951468,48,Backward
1728538986.1951468,48,Backward
1728538986.1951468,48,Backward
1728538986.1951468,48,Backward
1728538986.202813,46,Backward
1728538986.202813,46,Backward
1728538986.202813,47,Backward
1728538986.202813,47,Backward
1728538986.202813,45,Backward
1728538986.202813,45,Backward
1728538986.202813,44,Backward
1728538986.204841,44,Backward
1728538986.204841,42,Backward
1728538986.204841,42,Backward
1728538986.2058885,40,Backward
1728538986.2062376,40,Backward
1728538986.2062376,39,Backward
1728538986.2072651,39,Backward
1728538986.2072651,36,Backward
1728538986.2072651,36,Backward
1728538986.2072651,34,Backward
1728538986.2072651,34,Backward
1728538986.2072651,33,Backward
1728538986.2072651,33,Backward
1728538986.2072651,30,Backward
1728538986.2072651,30,Backward
1728538986.2072651,30,Backward
1728538986.2072651,30,Backward
1728538986.212031,28,Backward
1728538986.212031,28,Backward
1728538986.2127354,28,Backward
1728538986.2127354,28,Backward
1728538986.2127354,25,Backward
1728538986.2127354,25,Backward
1728538986.2127354,24,Backward
1728538986.2127354,24,Backward
1728538986.2127354,22,Backward
1728538986.2127354,22,Backward
1728538986.2127354,21,Backward
1728538986.2127354,21,Backward
1728538986.2127354,18,Backward
1728538986.2127354,18,Backward
1728538986.2127354,17,Backward
1728538986.2127354,17,Backward
1728538986.2127354,15,Backward
1728538986.2127354,15,Backward
1728538986.2127354,14,Backward
1728538986.2127354,14,Backward
1728538986.2127354,12,Backward
1728538986.2127354,12,Backward
1728538986.2127354,11,Backward
1728538986.2127354,11,Backward
1728538986.2179625,9,Backward
1728538986.2179625,9,Backward
1728538986.2179625,7,Backward
1728538986.2179625,7,Backward
1728538986.218933,6,Backward
1728538986.218933,6,Backward
1728538986.218933,3,Backward
1728538986.218933,3,Backward
1728538986.2199388,1,Backward
1728538986.2199388,1,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2199388,0,Backward
1728538986.2229087,0,Backward
1728538986.2229087,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2235658,0,Backward
1728538986.2278893,0,Backward
1728538986.2278893,0,Backward
1728538986.2278893,0,Backward
1728538986.2278893,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2288775,0,Backward
1728538986.2327266,0,Backward
1728538986.2327266,0,Backward
1728538986.2327266,0,Backward
1728538986.2327266,0,Backward
1728538986.2327266,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2335155,0,Backward
1728538986.2370813,0,Backward
1728538986.2370813,0,Backward
1728538986.2370813,0,Backward
1728538986.2370813,0,Backward
1728538986.2370813,0,Backward
1728538986.2370813,0,Backward
1728538986.2370813,0,Backward
1728538986.2370813,0,Backward
1728538986.2370813,0,Backward
1728538986.2389114,0,Backward
1728538986.2390983,0,Backward
1728538986.239262,0,Backward
1728538986.239262,0,Backward
1728538986.239262,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.239945,0,Backward
1728538986.2464511,0,Backward
1728538986.2464511,0,Backward
1728538986.247061,0,Backward
1728538986.247061,0,Backward
1728538986.247061,0,Backward
1728538986.247061,0,Backward
1728538986.247924,0,Backward
1728538986.247924,0,Backward
1728538986.247924,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
1728538986.248596,0,Backward
