Timestamp,Value,Result
1728538889.512443,97,Forward
1728538889.512443,97,Forward
1728538889.512443,24,Forward
1728538889.512443,24,Forward
1728538889.512443,22,Forward
1728538889.512443,22,Forward
1728538889.512443,19,Forward
1728538889.512443,19,Forward
1728538889.512443,19,Forward
1728538889.512443,19,Forward
1728538889.512443,17,Forward
1728538889.512443,17,Forward
1728538889.512443,16,Forward
1728538889.512443,16,Forward
1728538889.512443,16,Forward
1728538889.512443,16,Forward
1728538889.512443,15,Forward
1728538889.512443,15,Forward
1728538889.512443,15,Forward
1728538889.512443,15,Forward
1728538889.512443,14,Forward
1728538889.512443,14,Forward
1728538889.512443,14,Forward
1728538889.512443,14,Forward
1728538889.512443,13,Forward
1728538889.512443,13,Forward
1728538889.512443,13,Forward
1728538889.512443,13,Forward
1728538889.512443,13,Forward
1728538889.5196254,13,Forward
1728538889.5206294,12,Forward
1728538889.5210843,12,Forward
1728538889.5221944,12,Forward
1728538889.5221944,12,Forward
1728538889.5221944,12,Forward
1728538889.5221944,12,Forward
1728538889.5232036,12,Forward
1728538889.5232036,12,Forward
1728538889.5232036,12,Forward
1728538889.5232036,12,Forward
1728538889.5232036,12,Forward
1728538889.525582,12,Forward
1728538889.5274265,11,Forward
1728538889.5275917,11,Forward
1728538889.5275917,11,Forward
1728538889.5275917,11,Forward
1728538889.5275917,11,Forward
1728538889.5275917,11,Forward
1728538889.5289078,11,Forward
1728538889.5289078,11,Forward
1728538889.5293548,11,Forward
1728538889.5293548,11,Forward
1728538889.5293548,10,Forward
1728538889.5293548,10,Forward
1728538889.5293548,10,Forward
1728538889.5293548,10,Forward
1728538889.5293548,10,Forward
1728538889.5293548,10,Forward
1728538889.5293548,9,Forward
1728538889.5293548,9,Forward
1728538889.5293548,9,Forward
1728538889.5293548,9,Forward
1728538889.5293548,10,Forward
1728538889.5293548,10,Forward
1728538889.5293548,9,Forward
1728538889.5293548,9,Forward
1728538889.533764,9,Forward
1728538889.533764,9,Forward
1728538889.533764,9,Forward
1728538889.533764,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.534642,9,Forward
1728538889.5376458,8,Forward
1728538889.5376458,8,Forward
1728538889.5376458,8,Forward
1728538889.5376458,8,Forward
1728538889.5376458,9,Forward
1728538889.5387716,9,Forward
1728538889.5387716,9,Forward
1728538889.5387716,9,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5387716,8,Forward
1728538889.5457869,8,Forward
